"id";"usuario_id";"prefijo";"pais";"flag";"descripcion";"llamadas";"segundos";"llamadas_cuenta";"segundos_cuenta";"llamadas_actual";"segundos_actual";"t1";"t2";"t3";"t4";"estado";"accion"
"4792";"3";"228";"TG";"flag-tg";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4791";"3";"227";"NE";"flag-ne";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4790";"3";"226";"BF";NULL;"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4789";"3";"225";"CI";"flag-ci";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4788";"3";"224";"GN";"flag-gn";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4787";"3";"223";"ML";"flag-ml";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4786";"3";"222";"MR";"flag-mr";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4785";"3";"221";"SN";"flag-sn";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4784";"3";"220";"GM";"flag-gm";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4783";"3";"218";"LY";"flag-ly";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4782";"3";"216";"TN";"flag-tn";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4781";"3";"213";"DZ";"flag-dz";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4780";"3";"212";"MA";"flag-ma";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4779";"3";"211";"SD";"flag-sd";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4777";"3";"98";"IR";"flag-ir";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4776";"3";"95";"MM";"flag-mm";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4775";"3";"94";"AS";"flag-as";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4774";"3";"93";"AF";"flag-af";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4773";"3";"92";"PK";"flag-pk";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4772";"3";"91";"IN";"flag-in";"Actualizado 28/05/2020";"3";"2220";"3";"2220";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4771";"3";"90";"TR";"flag-tr";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4770";"3";"87";"NL";"flag-nl";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4769";"3";"86";"CN";"flag-cn";"Actualizado 28/05/2020";"2";"540";"2";"540";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4768";"3";"84";"VN";"flag-vn";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4767";"3";"82";"KR";"flag-kr";"Actualizado 28/05/2020";"1";"240";"1";"240";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4766";"3";"81";"JP";"flag-jp";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4765";"3";"66";"TH";"flag-th";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4764";"3";"65";"SG";"flag-sg";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4763";"3";"64";"NZ";"flag-nz";"Actualizado 28/05/2020";"1";"600";"1";"600";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4762";"3";"63";"PH";"flag-ph";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4761";"3";"62";"ID";"flag-id";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4760";"3";"61";"AU";"flag-au";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4759";"3";"60";"MY";"flag-my";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4758";"3";"58";"VE";"flag-ve";"Actualizado 28/05/2020";"5";"2460";"5";"2460";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4757";"3";"57";"CO";"flag-co";"Actualizado 28/05/2020";"22";"6660";"22";"6660";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4756";"3";"56";"CL";"flag-cl";"Actualizado 28/05/2020";"8";"2160";"8";"2160";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4755";"3";"55";"BR";"flag-br";"Actualizado 28/05/2020";"34";"7620";"34";"7620";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4754";"3";"54";"AR";"flag-ar";"Actualizado 28/05/2020";"11";"3180";"11";"3180";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4753";"3";"53";"CU";"flag-cu";"Creación: 2017-07-29 19:50:20";"1";"15";"1";"15";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4752";"3";"52";"MX";"flag-mx";"Actualizado 28/05/2020";"47";"16980";"47";"16980";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4751";"3";"51";"PE";"flag-pe";"Actualizado 28/05/2020";"6";"1800";"6";"1800";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4750";"3";"49";"DE";"flag-de";"Actualizado 28/05/2020";"8";"4020";"8";"4020";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4749";"3";"48";"PL";"flag-pl";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4748";"3";"47";"NO";"flag-no";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4747";"3";"46";"SE";"flag-se";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4746";"3";"45";"DK";"flag-dk";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4745";"3";"44";"GB";"flag-gb";"Actualizado 28/05/2020";"15";"5580";"15";"5580";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4744";"3";"43";"BE";"flag-be";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4743";"3";"41";"CH";"flag-ch";"Actualizado 28/05/2020";"1";"600";"1";"600";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4742";"3";"40";"RO";"flag-ro";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4741";"3";"39";"IT";"flag-it";"Actualizado 28/05/2020";"9";"2400";"9";"2400";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4740";"3";"36";"HU";"flag-hu";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4739";"3";"34";"ES";"flag-es";"Actualizado 28/05/2020";"41";"11400";"41";"11400";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4738";"3";"33";"FR";"flag-fr";"Actualizado 28/05/2020";"8";"2040";"8";"2040";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4737";"3";"32";"BE";"flag-be";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
